PROB A PRIORI,PROB MARGINAL,P(A|B),C,P(C|P(A|B)),FONTE
DDoS,United Kingdom,7.00,,,Acronis Mid-Year Cyberthreats Report 2023
malware,United Kingdom,15.00,,,Acronis Mid-Year Cyberthreats Report 2023
phishing,United Kingdom,79.00,,,Acronis Mid-Year Cyberthreats Report 2023
phishing,Healthcare,50.70,,,Healthcare Industry Was the Most Common Victim of Third-Party Breaches in 2022
DDoS,Retail,10.14,,,Retail Cybersecurity Statistics Not To Be Ignored
malware,Retail,21.74,,,Retail Cybersecurity Statistics Not To Be Ignored
ransomware,Retail,13.04,,,Retail Cybersecurity Statistics Not To Be Ignored
DDoS,EMEA,17.00,,,IBM X-Force Threat Intelligence Index 2024
malware,NA,46.00,,,IBM X-Force Threat Intelligence Index 2024
malware,APAC,45.00,,,IBM X-Force Threat Intelligence Index 2024
malware,LATAM,31.00,,,IBM X-Force Threat Intelligence Index 2024
malware,EMEA,50.00,,,IBM X-Force Threat Intelligence Index 2024
malware,Finance,38.00,,,IBM X-Force Threat Intelligence Index 2024
malware,Retail,50.00,,,IBM X-Force Threat Intelligence Index 2024
malware,Healthcare,29.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,EMEA,30.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,NA,27.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,APAC,36.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,LATAM,22.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,Finance,28.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,Retail,29.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,Healthcare,20.00,,,IBM X-Force Threat Intelligence Index 2024
ransomware,EMEA,26.00,,,IBM X-Force Threat Intelligence Index 2024
ransomware,APAC,17.00,,,IBM X-Force Threat Intelligence Index 2024
ransomware,LATAM,31.00,,,IBM X-Force Threat Intelligence Index 2024
ransomware,Finance,25.00,,,IBM X-Force Threat Intelligence Index 2024
ransomware,Retail,26.00,,,IBM X-Force Threat Intelligence Index 2024
phishing,APAC,18.00,,,M-Trends 2024 Special Report
phishing,EMEA,16.00,,,M-Trends 2024 Special Report
phishing,LATAM,18.00,,,M-Trends 2024 Special Report
